Prestype,Year,Authors,Title,Venue,Date,pdf,Speaker,Video
oral,2006 & before,"Billy, B, Kao, C, Birgand, F, Tournebize, J and Sebilo, M ",Nitrate dynamics in a sub-surface drained agricultural watershed ,"Man and Rivers II Symposium, 4-6th December 2006, Paris, France",2006-12-04,,,
oral,2006 & before,"Gruau G, Birgand F ",Long-Term Trends in Dissolved Organic Matter in French Rivers : Assessing the relative effects of climate change and human activities using long-term records ,"Man and Rivers II Symposium, 4-6th December 2006, Paris, France",2006-12-04,Oral_Man_Gruau_Birgand_05_12_06.pdf,,
oral,2006 & before,"Birgand F, Faucheux C ",Evaluation of sampling strategies for estimating annual nutrient loads at the outlets of rural watersheds ,"Man and Rivers II Symposium, 4-6th December 2006, Paris, France",2006-12-04,Oral_Birgand_and_Faucheux_05_12_06.pdf,,
oral,2006 & before,"Billy, B, Birgand, F, Kao, C, Tournebize, J ",Water and nitrate balance in a poorly drained forested and agricultural watershed ,"International Conference Hydrology and Management of Forested Wetlands, ASABE, 8-12 Avril, 2006 New Bern NC, USA",2006-04-12,,,
oral,2006 & before,"Birgand F, Appelboom T W, Chescheir G M, Skaggs R W and Gilliam J W ",Time Proportional Sampling Strategies for Estimating Annual Nutrient Fluxes at the Outlets of Coastal Plain Watersheds,"International Conference Hydrology and Management of Forested Wetlands, ASABE, 8-12 Avril, 2006 New Bern NC, USA",2006-04-12,Oral_Birgand_sampling_ASABE_2006.pdf,,
oral,2006 & before,"Birgand F, Bordenave P, Saint-Cast P, Le Saos E and Serrand P ",Evaluation of sampling strategies for estimating nutrient fluxes at the outlets of agricultural watersheds ," International Conference of the EWRA. September 2005, Menton, France",2005-09-10,Oral_Birgand_EWRA2005.pdf,,
oral,2006 & before,"Lefrançois J, Grimaldi C, Birgand F, Gascuel-Odoux C, Gilliet N ","Origins and dynamics of suspended sediment in two small agricultural catchments, Normandy, France ","Fourth Inter-Celtic Colloquium on Hydrology and Management of water resources, Portugal, July 11-13,2005",2005-07-12,,,
oral,2006 & before,"Lefrançois J, Grimaldi C, Gascuel-Odoux C, Birgand F, Gilliet N ",Suspended sediment concentration (SS)-discharge relationships : a way to identify the dominant processes implicated in the SS load on a small agricultural catchment,"VIIth Scientific Assembly of the International Association of Hydrological Sciences, Foz Do Iguaçu, April 3-9, 2005 ",2005-04-09,,,
oral,2006 & before,"Laplana, R, Turpin, N, Kaljonen, M, Strauss, P, Bärlund, I, Benigni, G, Bioteau, T, Birgand, F, Bontems, P, Bordenave, P, Eklo, O M, Feichtinger, F, Garnier, M, Haverkamp, R, Leone, A, Tattari, S, Lescot, J M, Lo Porto, A, Piet, L, Ripa, M N, Romstad, E, Rotillon, G, Zahm, F ",How to compare best agricultural management practices at the watershed scale?,"EWRA 6th international conference Sharing a common vision of our water resources, Menton, 7-10 september 2005",2005-09-10,,,
oral,2006 & before,"Peu, P, Martinez, J, Birgand, F, Hinsinger, P, Benedetti, M F ","Short term evolution of pig slurry macronutrients (N, P, K) accumulated into an over amended lysimeter (SOLEPUR) ","11th International conference of the FAO ESCORENA network on the recycling of agricultural, municipal and industrial residues in agriculture, Murcia, ESP, 6-9 October 2004. p. 55 - 58",2004-10-09,,,
oral,2009,"Birgand F, Faucheux C, Moatar F, Meybeck M ","Uncertainties on nitrate water quality indicators associated with infrequent sampling in Brittany, France","ASABE Paper No. 096601. St. Joseph, Mich.: ASABE",2009-07-15,,,
oral,2009,"Birgand F, Chescheir, G M ",Measuring Nutrient Retention in Streams: Scale Matters ,"ASABE Paper No. 096523. St. Joseph, Mich.: ASABE.",2009-07-15,,,
oral,2009,"Birgand F, Faucheux C, Moatar F, Meybeck M ","Quelles erreurs pour quelles stratégies d'échantillonnage de l'eau dans les bassins versants ? (What kind of error for what sampling strategies in watersheds?)","Presentation at the international forum on integrated water resource management at the Université de Sherbrooke, Sherbrooke, Québec, June, 1-3, 2009",2009-07-03,,,
oral,2010,"Etheridge, J R, A Lepistö, K Granlund, K Rankinen, M R Burchell II and F Birgand ",Calibration of the INCA-N Model in the Pyhäjoki and Yläneenjoki Catchments in Finland ,"ASABE International meeting, Pittsburgh, Pennsylvania, June 20 - June 23, 2010",2010-06-23,,,
oral,2010,"Chescheir G M, F Birgand, S Tian and M A Youssef ",The effect of sampling frequency on the accuracy of nitrogen load estimates from a drained loblolly pine plantation in Eastern North Carolina,"ASABE's 9th International Drainage symposium. June 13-17, 2010, Québec city, Canada",2010-06-17,,,
oral,2010,"Birgand F, Bennett E, Gruau G ","Deriving Sampling Frequency Charts: example for Dissolved Organic Matter in Brittany, France","NC WRRI Annual Conference, Raleigh, NC, March 31st, 2010",2010-03-31,Birgand_Errors on OM fluxes in Brittany_03_31_10.pdf,,
oral,2011,"Amatya, D, G Chescheir, J Nettles, T Appelboom, W Skaggs, M Youssef, and F Birgand ",Long-term Hydrologic and Water Quality Monitoring in NC ,"Forestry Research in the South - Forest Water Quality and Yield, Southern Forestry Research Partnership (SFRP), Inc. _ Center of Excellence, Monroe, GA.",2011-10-17,,,
oral,2011,"Etheridge, J R, F Birgand and M R Burchell ",Benefits and challenges of continuous flow and nitrogen monitoring in a restored salt marsh in North Carolina,"ASABE Annual International meeting. Louiville, KY. August 7-10, 2011",2011-08-10,080811_ASABE_Etheridgeetal.pdf,,
oral,2011,"Horstman, M T, F Birgand and E L Allen ",A Mesocosm Study to Explore the Enhancement of Nitrate Dissipation Capacity in Treatment Wetlands ,"ASABE Annual International meeting. Louiville, KY. August 7-10, 2011",2011-08-10,ASABE_Presentation_MHorstman.pdf,,
oral,2011,"Gilmore, T, F Birgand K Chapman and A Brown ",GaugeCam: An Image-Based System to Measure Water Levels in Streams ,"ASABE Annual International meeting. Louiville, KY. August 7-10, 2011",2011-08-10,ASABE_2011_final_TEG_30 slides.pdf,,
oral,2011, Birgand F ,Evaluation of Uncertainties on Annual Nutrient Load Induced by Time Proportional Composite Sampling Strategies ,"ASABE Annual International meeting. Louiville, KY. August 7-10, 2011",2011-08-10,Birgand_Time_composite_sampling_strategies.pdf,,
oral,2011,"Etheridge, J R, F Birgand and M R Burchell ",Intensive monitoring to develop a water and nitrogen balance for a constructed tidal stream,"11th Annual meeting of the American Ecological Engineering Society. Ashville, NC. May 22-25, 2011",2011-05-25,052511_AEES_Etheridgeetal.pdf,,
oral,2011,"Gardner, A, G Jennings, S McMillan, F Birgand and A Tuttle ",Enhancing nutrient retention/removal in stream restoration projects,"11th Annual meeting of the American Ecological Engineering Society. Ashville, NC. May 22-25, 2011",2011-05-25,GardnerAEES2011.pdf,,
oral,2011,"Kao, Y, F Birgand, B Reich and W J Showers ","Addressing the uncertainties on annual nitrate load calculations in the Neuse River, NC","Annual NC WRRI conference. Raleigh, NC. March 22-23, 2011",2011-03-23,Yimin_Kao_WRRI 2011.pdf,,
oral,2011,"Chescheir G M, F Birgand, M A Youssef, R W Skaggs and J Nettles ",Hydrology and water quality impacts of biofuel feedstock production on forestry lands ,"Annual NC WRRI conference. Raleigh, NC. March 22-23, 2011",2011-03-23,George_chescheir_WRRI_2011.pdf,,
oral,2011,"Etheridge, J R, M R Burchell II and F Birgand ","Continuously monitoring flow, carbon, and nitrogen in a restored North Carolina salt marsh ","Annual NC WRRI conference. Raleigh, NC. March 22-23, 2011",2011-03-23,Randall_Etheridge_WRRI_2011.pdf,,
oral,2011,"Birgand F, G Lellouche and T M Appelboom ",Is measuring flow in streams such an easy thing to do? ,"Annual NC WRRI conference. Raleigh, NC. March 22-23, 2011",2011-03-23,Birgand_WRRI_2011.pdf,,
oral,2011,"Horstman, M, E Allen, F Birgand and P Harris ",The Evaluation of a Combined Multiplexer Pumping System and Water Quality Probe for Use as a Portable Water Quality Lab ,"Annual NC WRRI conference. Raleigh, NC. March 22-23, 2011",2011-03-23,Marc_Horstman_WRRI_2011.pdf,,
oral,2012,"Birgand, F and R Muñoz-Carpena ",Quantifying uncertainties in watershed nutrient loads: apportionment of uncertainty sources,"ASABE Annual International meeting. Dallas, TX. July 29 - August 01, 2012",2012-08-01,Presentation_Birgand_Munoz_Uncertainties_apportionment_ASABE_Aug_01_2012.pdf,,
oral,2012,"Etheridge, J R, F Birgand, and M R Burchell II ",Restored salt marsh: A source or a sink for nitrogen? ,"ASABE Annual International meeting. Dallas, TX. July 29 - August 01, 2012",2012-08-01,,,
oral,2012,"Allen, E L, V Andréassian, G M Chescheir and F Birgand ",Using the GR4J and NC Models to Quantify the Hydrologic Effects of Biomass Production ,"ASABE Annual International meeting. Dallas, TX. July 29 - August 01, 2012",2012-08-01,ASABEPresentationEAllen.pdf,,
oral,2012,"Etheridge, J R, F Birgand, M R Burchell II and B Smith ",Capturing the ever changing world of a tidal marsh,"Stewards of the future: Research for Human Health and Global Sustainability, a conference hosted by College of Agriculture and Life Sciencesm NC State University. Raleigh, NC. April 17, 2012.",2012-04-17,,,
oral,2012,"Birgand, F, T Gilmore, A Brown and K Chapman ",Hydrology for all: measuring water levels using webcams ,"Stewards of the future: Research for Human Health and Global Sustainability, a conference hosted by College of Agriculture and Life Sciencesm NC State University. Raleigh, NC. April 17, 2012",2012-04-17,,,
oral,2012,"Birgand, F, M T Horstman, and B Reich ",Revising the kinetics of nitrate dissipation in wetlands and streams,"Annual NC WRRI conference. Raleigh, NC. March 27-29, 2012",2012-03-29,Birgand_et_al_WRRI_March27_2012.pdf,,
oral,2012,"Etheridge, J R, F Birgand and M R Burchell II ",Nitrate Mass Balance in a Restored North Carolina Salt Marsh,"Annual NC WRRI conference. Raleigh, NC. March 27-29, 2012",2012-03-29,Etheridge_et_al_WRRI_2012.pdf,,
oral,2013,"Etheridge, J R, M Burchell and F Birgand ",What water quality benefits does a constructed brackish marsh provide when receiving nutrients from agricultural drainage waters?,"Southeast Tidal Creek Summit, Wilmington, NC. December 16-17, 2013",2013-12-17,Etheridge_TCS_Wilmington_Dec_17_2013.pdf,,
oral,2013,"Skaggs, R W, S Tian, M A Youssef, D M Amatya, and F Birgand ",Effect of Afforestation on Watershed Outflows: A Simulation Study ,"Society of American Foresters National Convention, Charleston, SC, Oct. 23-27, 2013",2013-10-27,,,
oral,2013,"Moatar, F, M Meybeck, S Raymond and F Birgand ",Estimating riverine fluxes and their uncertainties from discrete surveys," Joint IAHS, IAPSO, IASPEI. Gothenburg, Sweden. July 22-26, 2013",2013-07-26,,,
oral,2013,"Messer, T, M Burchell and F Birgand ",Determining ideal nitrogen loads in rerouted drainage water from the Pamlico sound to restored forested welands - an experimental and modeling approach,"ASABE Annual International meeting. Kansas City, MO. July 21 - 24, 2013",2013-07-24,Messer_ASABE_KC_13.pdf,,
oral,2013,"Bennett, E, F Birgand, G M Chescheir, E Allen, and T Appelboom ",Hydrology and Water Quality Impacts of Loblolly Pine *(Pinus taeda)* and Switchgrass *(Panicum virgatum)* Intercropped Systems in Upland Southeastern Forested Watersheds ,"ASABE Annual International meeting. Kansas City, MO. July 21 - 24, 2013",2013-07-24,Bennett_Erin_ASABE_KC_07-23-13.pdf,,
oral,2013,"Etheridge,J R, F Birgand, M R Burchell II, R O Evans, S W Broome ",Long-term nutrient and suspended solids mass balance for a restored brackish marsh in eastern North Carolina ,"13th Annual American Ecological Engineering Society Meeting. East Lansing, MI. June 10-12, 2013",2013-06-12,,,
oral,2013,"Etheridge, J R, F Birgand, M R Burchell II, T M Barto ","Nutrient, organic matter, and suspended solids dynamics during and following Hurricane Sandy in a restored North Carolina brackish marsh ","13th Annual American Ecological Engineering Society Meeting. East Lansing, MI. June 10-12, 2013",2013-06-12,,,
oral,2013,"Burchell, M, R Etheridge, Y Shiau, F Birgand, S Broome, and K Bass ",Salt marsh restoration in eastern NC - A good idea in the face of SLR? A case study at North River Farms ,"NOAA NC Sentinel Site Cooperative Sea Level Rise Research and Monitoring Coordination Workshop. Beaufort, NC. March 12-13, 2013",2013-03-13,,,
oral,2013,"Etheridge, J R, Birgand, F and M R Burchell, II ",Quantifying nitrogen fluxes in a tidal marsh: Insights from capturing the rapid changes of flow and concentrations ,"Water Resources Research Institute of The University of North Carolina Annual Conference. Raleigh, NC. March 20-21, 2013",2013-03-21,,,
oral,2013,"Burchell, M B II, T L Messer, and F Birgand ",Determining Ideal Nitrogen Loads for Two Distinct Restored Wetland Soils _ An Experimental and Modeling Approach ,"Water Resources Research Institute of The University of North Carolina Annual Conference. Raleigh, NC. March 20-21, 2013",2013-03-21,,,
oral,2014, Birgand F,High Frequency Water Quality Data: Is this really necessary?,"Oklahoma 2014 Governor's Water Conference and Research Symposium. October 23, 2014",2014-10-23,,Keynote,
oral,2014, Birgand F ,High Frequency Water Quality Data: perspectives and challenges ,"Oklahoma State University - Biosystems and Agriculural Engineering Department. October 24, 2014",2014-10-24,,Invited,
oral,2014,"Etheridge, J R, M Burchell and F Birgand ",Using Tidal Marsh Creation to Reduce Nitrogen Loads Reaching Estuaries,"ASABE Annual International meeting. Montr_al, Canada. July 14-16, 2014",2014-07-16,Etheridge_Burchell_ASABE_2014_FB.pdf,,
oral,2014,"Gilmore, T E, D Genereux, K Solomon, J Solder, B Kimbrall, F Birgand, H Mitasova, M Burnette and S Becker ",Using groundwater discharge to assess an agricultural nitrogen legacy: three approaches to sampling in stream channels at different scales ,"ASABE Annual International meeting. Montréal, Canada. July 14-16, 2014",2014-07-16,,,
oral,2014,"Skaggs, R W, G M Chescheir, D M Amatya and F Birgand ",Methods for Determining Field Effective Saturated Hydraulic Conductivity of Drained Catchments ,"ASABE Annual International meeting. Montréal, Canada. July 14-16, 2014",2014-07-16,,,
oral,2014,"Allen, E A, F Birgand, F M Chescheir, E Bennett, J Nettles and T W Appelboom ",Hydrology and Water Quality Impacts of Site Preparation for Loblolly Pine (Pinus taeda) and Switchgrass (Panicum virgatum) Intercropping in Upland Forested Watersheds in Mississippi ,"ASABE Annual International meeting. Montréal, Canada. July 14-16, 2014",2014-07-16,,,
oral,2014,"Allen, E A, F Birgand, F M Chescheir, C L Osburn and J R Etheridge ",Continuous Monitoring of Hydrology and Water Quality to Detect Impacts of Switchgrass Intercropping in Managed Loblolly Pine Plantations in Eastern North Carolina ,"ASABE Annual International meeting. Montréal, Canada. July 14-16, 2014",2014-07-16,,,
oral,2014,"Birgand F, K Aveni-Deforge, J R Etheridge, O Fauvet and M Faucheux ",High frequency water quality data: what we get - the challenges ,"ASABE Annual International meeting. Montréal, Canada. July 14-16, 2014",2014-07-16,,,
oral,2014,"Messer, T, M R Burchell, and F Birgand ",Determining Ideal Nitrogen Loads for Rerouted Agricultural Drainage Water into Restored Forested Wetlands - An Experimental and Modeling Approach ,"ASABE Annual International meeting. Montréal, Canada. July 14-16, 2014",2014-07-16,,,
oral,2014,"Etheridge, J R, F Birgand and M Burchell ",Confirming Tidal Marshes as One-Way Outwelling Nutrient Pumps: Observations and Mechanisms ,"ASABE Annual International meeting. Montréal, Canada. July 14-16, 2014",2014-07-16,,,
oral,2014,"Dobbs, N, M Youssef, F Birgand, B D Phillips, G M Chescheir and T W Appelboom ",Modeling the effects of pine *(Pinus taeda)* and switchgrass *(Panicum virgatum)* intercropping on hydrology and water quality in southeastern United States forests ,"ASABE Annual International meeting. Montréal, Canada. July 14-16, 2014",2014-07-16,,,
oral,2014, Birgand F ,High Frequency Water Quality Data: The Next Leap in Hydrology? ,"ASABE Annual International meeting. Montréal, Canada. July 14-16, 2014",2014-07-16,Birgand_WQ_ASABE_2014.pdf,Invited,
oral,2014,"M R Burchell, Messer, T L, and F Birgand 2014 ",Determining Ideal Nitrogen Loads in Restored Forested Wetlands Slated to Receive Agricultural Drainage,"AEES Conference. 10 June, Charleston, SC",2014-06-10,,,
oral,2014,"Etheridge, J R, F Birgand and M Burchell ",Confirming Tidal Marshes as One-Way Outwelling Nutrient Pumps: Observations and Mechanisms ,"Joint Aquatic Sciences Meeting. Portland, OR. May 18-23, 2014",2014-05-23,,,
oral,2014, Birgand F ,Moving Forward in Nutrient Research and Management: Critical Knowledge Provided by High Time Resolution Water Quality Data,"University of Florida",2014-05-16,,Invited,http://mediasite.video.ufl.edu/Mediasite/Play/58c7d628a6324e7f8b67d94c89f439231d
oral,2014,"Etheridge, J R, F Birgand and M Burchell ",Confirming Tidal Marshes as One-Way Outwelling Nutrient Pumps: Observations and Mechanisms,"University of Florida Water in the Landscape, Distinguished Seminar Series",2014-05-15,,Invited,
oral,2014,"Etheridge, J R, F Birgand and M Burchell ",Confirming Tidal Marshes as One-Way Outwelling Nutrient Pumps: Observations and Mechanisms (view presentation),"Water Resources Research Institute of The University of North Carolina Annual Conference. Raleigh, NC. March 19-20, 2014",2014-03-20,Birgand_NR_WRRI_Outwelling_2014.pdf,,
oral,2014,"Etheridge, J R, F Birgand and M Burchell ","Using in situ UV_vis spectroscopy to measure N, C, P and suspended solids at a high frequency in a brackish tidal marsh ","Water Resources Research Institute of The University of North Carolina Annual Conference. Raleigh, NC. March 19-20, 2014",2014-03-20,Birgand_UV-vis_WQ_WRRI_2014.pdf,,
oral,2014,"Etheridge, J R, F Birgand and M Burchell ",Illustrating critical knowledge (gap) provided by high time resolution water quality data (or lack thereof) ,"Water Resources Research Institute of The University of North Carolina Annual Conference. Raleigh, NC. March 19-20, 2014",2014-03-20,Birgand_WQ_critical_knowledge_WRRI_2014.pdf,,
oral,2014,"Messer, T, M R Burchell, and F Birgand ",Determining ideal nitrogen loads for rerouted agricultural drainage water into restored forested wetlands: An experimental and modeling approach ,"Water Resources Research Institute of The University of North Carolina Annual Conference. Raleigh, NC. March 19-20, 2014",2014-03-20,,,
oral,2015,"Maxwell, B, Birgand F, and Aveni-Deforge",Nitrogen Abatement in Streams - An In-Situ Mesocosm Study Quantifying and Characterizing Nitrogen Removal in a Coastal Stream," ASABE Annual International meeting. New Orleans, USA. July 26-29, 2015",2015-07-29,,,
oral,2015,"Birgand F, Aveni-Deforge, K A, Etheridge, J R, Fauvet, O, Faucheux, M and Carey, C ",Water Quality Rating Curves: Is this for Real?," ASABE Annual International meeting. New Orleans, USA. July 26-29, 2015",2015-07-29,,,
oral,2015,"Allen, E, Birgand F, Chescheir, G M, Skaggs, R W, Osburn, C and Etheridge, J R ",Application of a Combination of Optical Water Quality Monitoring Techniques to Evaluate the Effects of Switchgrass Intercropping in a Managed Loblolly Pine Forest in Eastern North Carolina ," ASABE Annual International meeting. New Orleans, USA. July 26-29, 2015",2015-07-29,,,
oral,2015,"Dobbs, N, Birgand F, Chescheir, G M and Allen, E 2015 ",Water quality impacts of intercropping Loblolly pine (Pinus taeda) and switchgrass (Pancium virgatum) in coastal plain watersheds of the southeastern United State ," ASABE Annual International meeting. New Orleans, USA. July 26-29, 2015",2015-07-29,,,
oral,2015,"Messer, T, Burchell, M R, Birgand F ",How to Model Nitrate Reduction in Restored Wetlands? An Evaluation of the Reliability of Four Nitrate Reduction Models ," ASABE Annual International meeting. New Orleans, USA. July 26-29, 2015",2015-07-29,,,
oral,2015,"Lin, C -W, Birgand F, Aveni-Deforge, K, Maxwell, B","Characterize an agricultural stream before restoration period in Goldsboro, NC "," ASABE Annual International meeting. New Orleans, USA. July 26-29, 2015",2015-07-29,,,
oral,2015,"Maxwell, B, Birgand F, and Aveni-Deforge ","Further down the river: a novel, spectrometric, in-situ technology improving spatial and temporal data resolution to address heterogeneity in aquatic systems","Society for Freshwater Science Annual Meeting. Milwaukee, WI, USA. May 17-21, 2015",2015-05-21,,,
oral,2015,"Mansanarez, V, Le Coz, J, Renard, B, Lang, M and Birgand F ",Bayesian analysis of stage-discharge relationships affected by hysteresis and quantification of the associated uncertainties,"European Geosciences Union, General Assembly, Vienna Austria, 12-17 April 2015",2015-04-17,,,
oral,2015,"Aveni-Deforge, K, Birgand F, Fauvet, O ",Should We Start Making Water Quality Rating Curves at Each Monitoring Station? ,"Water Resources Research Institute of The University of North Carolina Annual Conference. Raleigh, NC. March 18-19, 2015",2015-03-19,,,
oral,2015,"Lin, C -W, Birgand F, Aveni-Deforge, K, Maxwell, B ",Challenges for continuous monitoring of flow and water quality in a coastal plain stream,"Water Resources Research Institute of The University of North Carolina Annual Conference. Raleigh, NC. March 18-19, 2015",2015-03-19,,,
oral,2015,"Messer, T, Burchell, M R, Birgand F Water Resources Research Institute of The University of North Carolina Annual Conference Raleigh, NC March 18-19, 2015 ",Comparison of Four Nitrogen Removal Kinetic Models in Two Distinct Wetland Ecosystems Receiving Agricultural Drainage Water,"Water Resources Research Institute of The University of North Carolina Annual Conference. Raleigh, NC. March 18-19, 2015",2015-03-19,,,
oral,2016,"Maxwell, B, Winter, D, Birgand F ",Quantifying treatment potential of floating treatment wetlands to benefit North Carolina waters using improved methodology and novel technology,"North Carolina Water Resources Research Institute Advisory Committee Meeting, Raleigh, NC, October 2016",2016-10-10,,,
oral,2016,"Muwamba, A, D M Amatya, E W Tollner, G M Chescheir, T Appelboom, H Ssegane, J E Nettles, M A Youssef, F Birgand, R W Skaggs, and S Tian 2016",Effect of Fertilizer Application on Nutrients in Pine/Switchgrass Forest Drainage Outflow,"ASABE Annual International meeting. Orlando, FL, July 17-20, 2016",2016-07-20,,,
oral,2016,"Dobbs, N, F Birgand, B Philips, G M Chescheir, and M A Youssef",Modeling the effects of pine (Pinus taeda) and switchgrass (Panicum virgatum) intercropping on hydrology in upland forested watersheds of southeastern United States,"ASABE Annual International meeting. Orlando, FL, July 17-20, 2016",2016-07-20,,,
oral,2016,"Carter, T, N Dobbs, E Allen, E Bennett, F Birgand, G M Chescheir, and T M Appelboom",Hydrology and Water Quality Impacts of Loblollypine (Pinus taeda) and switchgrass (Panicum virgatum) in Upland Mississippi Forested watershed,"ASABE Annual International meeting. Orlando, FL, July 17-20, 2016",2016-07-20,,,
oral,2016,"Dobbs, N, F Birgand, G M Chescheir, E Bennett and E Allen","Hydrology and water quality comparisons of the early establishment period of Loblolly pine *(Pinus taeda)* and switchgrass *(Panicum virgatum)* in upland forested watersheds of Alabama, USA","ASABE Annual International meeting. Orlando, FL, July 17-20, 2016",2016-07-20,,,
oral,2016,"Allen, E, F Birgand, and G M Chescheir",Carbon and Nitrogen Stream Dynamics Determined by Optical Continuous Monitoring Methods in an Eastern NC Managed Forest/Switchgrass Intercropping Paired Watershed Study,"ASABE Annual International meeting. Orlando, FL, July 17-20, 2016",2016-07-20,,,
